[2025-06-02 20:47:51] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:47:51] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:54:01] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:54:01] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:56:43] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 20:56:43] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:17:04] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:17:04] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:18:04] User: 7444696176 | Action: CHATAI_START | Details: 
[2025-06-02 21:18:35] User: 7073749415 | Action: ADMIN_PANEL | Details: 
[2025-06-02 21:18:39] User: 7073749415 | Action: ADMIN_TOOLS_MENU | Details: 
[2025-06-02 21:19:16] User: 2079449654 | Action: CHECK_STATS | Details: 
[2025-06-02 21:19:31] User: 7073749415 | Action: START_ANONYMOUS_CHAT | Details: 7444696176
[2025-06-02 21:19:38] User: 7073749415 | Action: ANONYMOUS_CHAT_SEND | Details: To 7444696176: thằng han ngu vc...
[2025-06-02 21:19:42] User: 7073749415 | Action: ANONYMOUS_CHAT_SEND | Details: To 7444696176: han óc cặc...
[2025-06-02 21:19:47] User: 7073749415 | Action: ANONYMOUS_CHAT_SEND | Details: To 7444696176: han đầu buồi...
[2025-06-02 21:20:06] User: 7073749415 | Action: ANONYMOUS_CHAT_SEND | Details: To 7444696176: Zyah king chửi thẳng họng mày...
[2025-06-02 21:20:09] User: 7073749415 | Action: END_ANONYMOUS_CHAT | Details: 7444696176
[2025-06-02 21:20:42] User: 7073749415 | Action: START_ANONYMOUS_CHAT | Details: 6548527691
[2025-06-02 21:20:47] User: 7073749415 | Action: ANONYMOUS_CHAT_SEND | Details: To 6548527691: allo thằng ngu...
[2025-06-02 21:22:24] User: 7073749415 | Action: END_ANONYMOUS_CHAT | Details: 6548527691
[2025-06-02 21:22:52] User: 7073749415 | Action: MONITOR_USERS | Details: 
[2025-06-02 21:23:21] User: 7073749415 | Action: START_ANONYMOUS_CHAT | Details: 7444696176
[2025-06-02 21:23:27] User: 7073749415 | Action: ANONYMOUS_CHAT_SEND | Details: To 7444696176: han bú buoi nhay...
[2025-06-02 21:23:32] User: 7073749415 | Action: END_ANONYMOUS_CHAT | Details: 7444696176
[2025-06-02 21:24:18] User: 7073749415 | Action: USER_PROFILE | Details: 7444696176
[2025-06-02 21:25:05] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:25:05] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:25:13] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:25:13] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:27:10] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:27:10] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:29:23] User: 7073749415 | Action: GRANT_TEST_ALL | Details: Success: 19, Failed: 0
[2025-06-02 21:29:34] User: 7444696176 | Action: CHATAI_START | Details: 
[2025-06-02 21:30:09] User: 2079449654 | Action: CHECK_STATS | Details: 
[2025-06-02 21:30:30] User: 7073749415 | Action: MONITOR_USERS | Details: 
[2025-06-02 21:30:51] User: 7073749415 | Action: USER_PROFILE | Details: 7444696176
[2025-06-02 21:30:57] User: 7073749415 | Action: MONITOR_USERS | Details: 
[2025-06-02 21:31:15] User: 7073749415 | Action: CHECK_USER_MESSAGES | Details: 7444696176
[2025-06-02 21:32:03] User: 7073749415 | Action: MONITOR_USERS | Details: 
[2025-06-02 21:32:52] User: 7073749415 | Action: MONITOR_USERS | Details: 
[2025-06-02 21:33:07] User: 2079449654 | Action: CHECK_STATS | Details: 
[2025-06-02 21:33:32] User: 7073749415 | Action: CHATAI_START | Details: 
[2025-06-02 21:46:11] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:46:11] User: SYSTEM | Action: BOT_START | Details: 
[2025-06-02 21:47:08] User: 7073749415 | Action: ADMIN_DETAILED_STATS | Details: 
[2025-06-02 21:47:17] User: 7073749415 | Action: ADMIN_TOOLS_MENU | Details: 
